,Tanggal,RR
991,2021-09-18,0.0
992,2021-09-19,0.0
993,2021-09-20,0.0
994,2021-09-21,1.0
995,2021-09-22,0.0
996,2021-09-23,6.0
997,2021-09-24,0.0
998,2021-09-25,1.5
999,2021-09-26,0.0
1000,2021-09-27,0.0
1001,2021-09-28,0.0
1002,2021-09-29,0.0
1003,2021-09-30,0.0
1004,2021-10-01,0.0
1005,2021-10-02,0.0
1006,2021-10-03,0.0
1007,2021-10-04,0.0
1008,2021-10-05,0.0
1009,2021-10-06,0.0
1010,2021-10-07,0.0
1011,2021-10-08,0.0
1012,2021-10-09,0.0
1013,2021-10-10,0.0
1014,2021-10-11,0.0
1015,2021-10-12,0.0
1016,2021-10-13,0.0
1017,2021-10-14,0.0
1018,2021-10-15,0.0
1019,2021-10-16,0.0
1020,2021-10-17,0.0
1021,2021-10-18,0.0
1022,2021-10-19,15.8
1023,2021-10-20,0.0
